iter	Passed	Remaining
0	157	156888
1	157	78761
2	159	52894
3	160	40055
4	162	32271
5	163	27048
6	164	23325
7	165	20529
8	166	18386
9	168	16689
10	169	15220
11	169	13991
12	171	12996
13	172	12121
14	173	11413
15	175	10774
16	176	10203
17	177	9694
18	179	9244
19	180	8835
20	181	8453
21	182	8111
22	183	7806
23	184	7517
24	186	7261
25	187	7018
26	188	6791
27	189	6581
28	190	6375
29	191	6183
30	191	6000
31	192	5832
32	194	5685
33	194	5538
34	195	5395
35	196	5264
36	197	5132
37	197	5007
38	198	4887
39	198	4775
40	200	4679
41	200	4582
42	201	4486
43	202	4392
44	202	4302
45	203	4218
46	203	4135
47	204	4055
48	205	3980
49	205	3910
50	206	3841
51	206	3773
52	207	3706
53	207	3642
54	208	3581
55	208	3522
56	209	3464
57	209	3408
58	210	3354
59	210	3301
60	211	3253
61	212	3208
62	212	3163
63	213	3119
64	213	3075
65	214	3034
66	214	2993
67	215	2953
68	216	2914
69	216	2877
70	217	2840
71	217	2806
72	218	2771
73	218	2738
74	219	2705
75	219	2674
76	220	2643
77	221	2612
78	221	2582
79	222	2553
80	222	2525
81	223	2497
82	223	2467
83	224	2443
84	224	2417
85	225	2392
86	225	2368
87	226	2344
88	226	2323
89	227	2301
90	228	2280
91	228	2257
92	229	2239
93	230	2219
94	231	2201
95	231	2183
96	232	2162
97	233	2144
98	233	2129
99	234	2110
100	235	2094
101	236	2078
102	236	2062
103	237	2047
104	238	2031
105	239	2016
106	239	2002
107	240	1989
108	241	1976
109	242	1963
110	243	1948
111	243	1933
112	244	1920
113	245	1906
114	245	1891
115	246	1880
116	247	1867
117	248	1853
118	248	1840
119	249	1827
120	250	1816
121	250	1804
122	251	1791
123	251	1778
124	252	1769
125	253	1757
126	254	1746
127	254	1735
128	255	1726
129	256	1715
130	256	1704
131	257	1695
132	258	1685
133	259	1677
134	260	1667
135	261	1659
136	261	1649
137	262	1640
138	263	1630
139	263	1621
140	264	1612
141	265	1602
142	265	1592
143	266	1585
144	267	1576
145	267	1567
146	268	1558
147	269	1551
148	270	1543
149	270	1535
150	271	1526
151	272	1518
152	272	1510
153	273	1502
154	274	1494
155	274	1487
156	275	1480
157	276	1472
158	277	1465
159	277	1457
160	278	1449
161	278	1442
162	279	1435
163	280	1427
164	280	1420
165	281	1414
166	282	1407
167	282	1400
168	283	1394
169	284	1387
170	284	1380
171	285	1374
172	286	1367
173	286	1361
174	287	1355
175	288	1349
176	288	1343
177	289	1336
178	290	1330
179	290	1324
180	291	1318
181	292	1314
182	293	1309
183	293	1303
184	294	1297
185	295	1291
186	295	1286
187	296	1280
188	297	1274
189	297	1268
190	299	1266
191	299	1261
192	300	1256
193	301	1250
194	301	1245
195	302	1240
196	303	1235
197	303	1230
198	304	1226
199	305	1221
200	306	1217
201	306	1212
202	307	1207
203	308	1203
204	308	1198
205	309	1194
206	310	1190
207	311	1185
208	311	1180
209	312	1176
210	313	1171
211	314	1168
212	315	1164
213	315	1160
214	316	1156
215	317	1151
216	317	1147
217	318	1142
218	319	1139
219	320	1135
220	320	1130
221	321	1126
222	322	1122
223	322	1118
224	323	1114
225	324	1109
226	324	1106
227	325	1102
228	326	1098
229	327	1094
230	327	1091
231	328	1087
232	329	1083
233	329	1079
234	330	1075
235	331	1072
236	332	1069
237	332	1065
238	333	1062
239	334	1058
240	334	1054
241	335	1050
242	336	1047
243	336	1043
244	337	1039
245	337	1035
246	338	1032
247	339	1028
248	340	1025
249	340	1021
250	341	1018
251	341	1014
252	342	1011
253	343	1007
254	343	1004
255	344	1001
256	345	998
257	346	996
258	347	993
259	347	990
260	348	987
261	349	984
262	350	982
263	351	979
264	352	976
265	352	973
266	353	970
267	354	967
268	355	965
269	355	962
270	356	959
271	357	956
272	357	953
273	358	949
274	359	946
275	359	943
276	360	940
277	360	937
278	361	934
279	362	931
280	362	928
281	363	925
282	364	922
283	364	919
284	365	916
285	365	913
286	366	910
287	367	908
288	367	905
289	368	902
290	369	899
291	369	896
292	370	893
293	370	890
294	371	887
295	372	885
296	372	882
297	373	879
298	374	877
299	374	874
300	375	871
301	375	868
302	376	866
303	377	863
304	377	860
305	378	857
306	378	855
307	379	852
308	380	849
309	380	847
310	381	844
311	381	841
312	382	839
313	382	836
314	383	833
315	384	831
316	384	828
317	385	826
318	386	824
319	386	821
320	387	819
321	387	816
322	388	814
323	388	811
324	389	808
325	390	806
326	390	804
327	391	801
328	391	799
329	392	796
330	393	794
331	393	792
332	394	789
333	395	787
334	395	785
335	396	783
336	396	780
337	397	778
338	398	776
339	398	774
340	399	771
341	399	769
342	400	767
343	401	764
344	401	762
345	402	760
346	402	758
347	403	755
348	404	753
349	404	751
350	405	749
351	406	747
352	406	745
353	407	743
354	407	741
355	408	739
356	409	737
357	409	735
358	410	733
359	411	731
360	411	729
361	412	727
362	413	725
363	413	723
364	414	721
365	415	719
366	415	717
367	416	715
368	417	713
369	417	711
370	418	709
371	419	707
372	419	705
373	420	703
374	421	701
375	421	699
376	422	697
377	422	695
378	423	693
379	424	691
380	424	690
381	425	688
382	426	686
383	426	684
384	427	682
385	427	680
386	428	678
387	429	676
388	429	674
389	430	672
390	430	670
391	431	669
392	431	667
393	432	665
394	433	663
395	433	661
396	434	659
397	435	658
398	435	656
399	436	654
400	436	652
401	437	650
402	438	649
403	438	647
404	439	645
405	439	643
406	440	641
407	441	640
408	441	638
409	442	636
410	442	634
411	443	632
412	444	631
413	444	629
414	445	628
415	446	626
416	446	624
417	447	622
418	447	620
419	448	619
420	448	617
421	449	615
422	450	614
423	451	612
424	451	611
425	452	609
426	452	607
427	453	605
428	453	604
429	454	602
430	454	600
431	455	599
